config,N,seed,status,msg_id,delivered_nodes,delivery_ratio,threshold_95,reached_95,t0_ms,t95_ms,convergence_ms,overhead
base,10,42,ok,b3677c65-da02-435f-b9f2-ff9062a9fb37,7,0.7,10,False,1771936007208,,,
base,10,43,ok,0bafac0a-d184-4319-baec-ab520073728c,10,1.0,10,True,1771936045302,1771936045306,4,30
base,10,44,ok,49e8f182-bfc0-4229-9ebc-6e1475e7df28,8,0.8,10,False,1771936083427,,,
base,10,45,ok,b55d6326-ea8c-4c2d-8cbc-ce369303cf57,9,0.9,10,False,1771936121551,,,
base,10,46,ok,138aeb5f-1edb-4135-8c2b-88b6f14b3478,8,0.8,10,False,1771936159678,,,
base,20,42,ok,31856a26-dcd7-4f80-ba1c-c45a35f7467c,17,0.85,19,False,1771936207868,,,
base,20,43,ok,9299620a-fed1-4cc3-8796-218faf73a575,19,0.95,19,True,1771936260087,1771936260096,9,57
base,20,44,ok,f8060a1d-f422-4830-8033-600d12c0e88c,20,1.0,19,True,1771936312276,1771936312283,7,54
base,20,45,ok,6d38b710-f069-4655-af9c-ed3fbd3368b7,18,0.9,19,False,1771936364364,,,
base,20,46,ok,86c8c161-a4ce-4128-8e39-ba8c8baa43fc,20,1.0,19,True,1771936416560,1771936416568,8,60
base,50,42,ok,4a8579bb-4afd-4841-9fbf-9e035fb32dd4,49,0.98,48,True,1771936483930,1771936483948,18,155
base,50,43,ok,9653d269-ef98-49fd-87d0-74978128c0af,48,0.96,48,True,1771936557396,1771936557411,15,170
base,50,44,ok,c8360d60-ad5c-4a38-8e09-0fb1e91ce898,42,0.84,48,False,1771936630803,,,
base,50,45,ok,b05e32fd-1660-44ff-9944-63ee5d8daa93,44,0.88,48,False,1771936704198,,,
base,50,46,ok,5e0a96e2-291c-4fce-97ea-37c7f9cc3a23,44,0.88,48,False,1771936777637,,,
fanout5,10,42,ok,3d564d7b-f185-4beb-9bdb-96dc8f5dfe6a,10,1.0,10,True,1771936825869,1771936825873,4,45
fanout5,10,43,ok,be4aaf5d-cc70-4a18-a3cd-59d8a68c354e,10,1.0,10,True,1771936863991,1771936863995,4,50
fanout5,10,44,ok,bcd9005d-c47c-4910-9833-76836007b645,8,0.8,10,False,1771936902120,,,
fanout5,10,45,ok,b0e82b41-1c57-4720-90e2-692627ed0323,10,1.0,10,True,1771936940235,1771936940237,2,50
fanout5,10,46,ok,6522fafc-5c88-463f-b1aa-bdfb8e312a54,10,1.0,10,True,1771936978362,1771936978363,1,50
fanout5,20,42,ok,8766f58f-4d26-424b-9f11-8db0b300ba85,20,1.0,19,True,1771937026504,1771937026522,18,95
fanout5,20,43,ok,dfcaf6e5-8cc5-4c56-8916-469675a77150,20,1.0,19,True,1771937078722,1771937078735,13,83
fanout5,20,44,ok,ca89b70d-9ab6-4cad-b3b7-0d72000e5cf8,19,0.95,19,True,1771937130917,1771937130923,6,95
fanout5,20,45,ok,59d87a6a-0d7e-49a1-81b0-595d4431b19e,18,0.9,19,False,1771937183105,,,
fanout5,20,46,ok,f6bb73be-80b3-4d5f-a1ce-137ed7b92f42,20,1.0,19,True,1771937235296,1771937235307,11,79
fanout5,50,42,ok,41a5053b-3394-4e7e-bf03-b9a63c589ee9,38,0.76,48,False,1771937397095,,,
fanout5,50,43,ok,80a672fe-54af-4d59-b1b4-4d945c146e8c,49,0.98,48,True,1771937509164,1771937509173,9,248
fanout5,50,44,ok,2640cfa5-ddbf-4f5b-8db7-a6eb81ebfe0b,46,0.92,48,False,1771937677215,,,
fanout5,50,45,ok,6de28368-e661-483b-95bc-d743bfdad8e7,50,1.0,48,True,1771937805542,1771937805553,11,262
fanout5,50,46,ok,357fc8e0-6e82-4e51-8656-83d2ab6b1828,48,0.96,48,True,1771938020189,1771938020201,12,271
ttl12,10,42,ok,eab62d6a-c6ea-47b8-a1cb-7ad2f1eaf44c,10,1.0,10,True,1771938068424,1771938068428,4,26
ttl12,10,43,ok,4953f54f-dbcf-4134-ab72-a76a86b9ff04,7,0.7,10,False,1771938154470,,,
ttl12,10,44,ok,1cd5e0d6-78a6-48d0-9308-302c3f3bf0e0,6,0.6,10,False,1771938192617,,,
ttl12,10,45,ok,41f3510e-94a3-4a16-a818-1c2423269843,10,1.0,10,True,1771938279769,1771938279774,5,27
ttl12,10,46,ok,34b957b3-c63b-41c1-956f-d4f600e044bd,9,0.9,10,False,1771938357622,,,
ttl12,20,42,ok,9b9ca23b-d12f-41e9-87b2-c5965bbc798c,20,1.0,19,True,1771938454108,1771938454115,7,57
ttl12,20,43,ok,b44876f0-ac35-455d-9bf4-6c95076edf4e,17,0.85,19,False,1771938556149,,,
ttl12,20,44,ok,caeecd55-a770-4b7b-a0a0-ba22331d8162,17,0.85,19,False,1771938663953,,,
ttl12,20,45,ok,f3785d42-3f5b-4826-8ac3-0c537dc32b8a,20,1.0,19,True,1771938860386,1771938860393,7,57
ttl12,20,46,ok,1d9e2753-e055-4089-b038-2ead8751e09a,18,0.9,19,False,1771938965119,,,
ttl12,50,42,ok,fb5541d0-21ee-40cf-8185-f9bf5015bc72,49,0.98,48,True,1771939159810,1771939159820,10,147
ttl12,50,43,ok,3bc5ab77-82f0-4536-aee4-3c963a0aa2c4,41,0.82,48,False,1771939280419,,,
ttl12,50,44,ok,bf69cb2d-04de-462f-831f-70d3f3ee58a3,43,0.86,48,False,1771939500373,,,
ttl12,50,45,ok,ad2299b9-1623-4704-ab3e-69891d42c9d5,50,1.0,48,True,1771939676790,1771939676792,2,147
ttl12,50,46,ok,fb392b7e-a3cb-4785-b03b-6723a7ffe850,48,0.96,48,True,1771939750271,1771939750300,29,191
peerlimit10_timeout10,10,42,ok,bccc8e2d-a20f-4e46-9978-24b96893a724,10,1.0,10,True,1771939798507,1771939798512,5,28
peerlimit10_timeout10,10,43,ok,9f899548-5531-4b5e-9a84-4cc4a20d62fd,10,1.0,10,True,1771939836632,1771939836640,8,29
peerlimit10_timeout10,10,44,ok,45a2abb2-1013-41d3-8124-909cbbe17191,10,1.0,10,True,1771939874782,1771939874790,8,30
peerlimit10_timeout10,10,45,ok,00004e6d-3223-454b-a548-e139b3a26c15,8,0.8,10,False,1771939912855,,,
peerlimit10_timeout10,10,46,ok,6a980412-69b0-4f11-afe7-06f198b737e6,10,1.0,10,True,1771939950934,1771939950939,5,30
peerlimit10_timeout10,20,42,ok,50af4242-a872-484b-8ad4-0582addcb477,20,1.0,19,True,1771939999133,1771939999140,7,56
peerlimit10_timeout10,20,43,ok,6df158d0-eb0a-4dbd-aac9-457b8db4bbf2,16,0.8,19,False,1771940051333,,,
peerlimit10_timeout10,20,44,ok,f0e7ab3b-2ba8-4d7e-82da-600c0945020a,19,0.95,19,True,1771940103536,1771940103548,12,54
peerlimit10_timeout10,20,45,ok,fee2afe7-207a-4934-abb8-4af5652f96bb,20,1.0,19,True,1771940155757,1771940155765,8,54
peerlimit10_timeout10,20,46,ok,f87e5b24-a405-4568-a7a6-f6977a461c76,19,0.95,19,True,1771940207941,1771940207956,15,46
peerlimit10_timeout10,50,42,ok,b5eae7e2-f0aa-49a9-bb48-87ad32207534,39,0.78,48,False,1771940275355,,,
peerlimit10_timeout10,50,43,ok,e7a0fcca-764e-47b4-81c0-c9ce81591483,46,0.92,48,False,1771940348737,,,
peerlimit10_timeout10,50,44,ok,e922d37c-3d0c-43be-abd9-5476d09543f7,48,0.96,48,True,1771940422104,1771940422126,22,178
peerlimit10_timeout10,50,45,ok,24a4fd27-5393-4264-953d-f609ead5cbd7,42,0.84,48,False,1771940495497,,,
peerlimit10_timeout10,50,46,ok,fdb6d65f-c875-4480-8cc5-ffa4d84b0ebb,49,0.98,48,True,1771940568970,1771940568987,17,154
