config,N,runs,pass_rate_95,conv_mean_ms,conv_std_ms,over_mean,over_std
base,10,5,0.2,4,0.0,30,0.0
base,20,5,0.6,8,0.816496580927726,57,2.449489742783178
base,50,5,0.4,16.5,1.5,162.5,7.5
fanout5,10,5,0.8,2.75,1.299038105676658,48.75,2.165063509461097
fanout5,20,5,0.8,12,4.301162633521313,88,7.14142842854285
fanout5,50,5,0.6,10.666666666666666,1.247219128924647,260.3333333333333,9.46337971105226
peerlimit10_timeout10,10,5,0.8,6.5,1.5,29.25,0.82915619758885
peerlimit10_timeout10,20,5,0.8,10.5,3.2015621187164243,52.5,3.840572873934304
peerlimit10_timeout10,50,5,0.4,19.5,2.5,166,12.0
ttl12,10,5,0.4,4.5,0.5,26.5,0.5
ttl12,20,5,0.4,7,0.0,57,0.0
ttl12,50,5,0.6,13.666666666666666,11.32352516764202,161.66666666666666,20.741798914805393
