mode,N,runs,success_runs,pass_rate_95,conv_mean_ms,conv_std_ms,over_mean,over_std
hybrid,5,5,5,1.0,7.4,2.8,8.2,2.039607805437114
hybrid,10,5,5,1.0,15.2,11.98999582985749,29.2,9.389355675444401
hybrid,20,5,5,1.0,25,8.694826047713663,67.2,12.796874618437112
hybrid,50,5,5,1.0,65.2,30.53129541961821,216.4,27.659356463952662
hybrid,100,5,5,1.0,78.8,18.454267799075637,426.2,87.30040091545972
push,5,5,5,1.0,5.8,0.7483314773547883,7.8,1.7204650534085253
push,10,5,5,1.0,10.8,1.7204650534085253,29.4,4.2708313008125245
push,20,5,5,1.0,23.2,6.04648658313239,63,13.549907748763458
push,50,5,5,1.0,40.2,8.818163074019441,186.2,8.704022058795578
push,100,5,5,1.0,74.8,10.186265262597475,420.2,21.766028576660464
